Index,Title,URL,Time(UTC)
0,Adversarial Reprogramming of Neural Cellular Automata,https://distill.pub/selforg/2021/adversarial,2021-05-07 00:00:10
1,Liquids and Useless Knowledge,https://johnhellion.substack.com/p/liquids-and-useless-knowledge,2021-05-07 18:00:22
2,How college became a ruthless competition divorced from learning,https://www.theatlantic.com/ideas/archive/2021/05/marriage-college-status-meritocracy/618795/,2021-05-07 18:00:36
3,Ruby Garbage Collection Deep Dive: Compaction,https://jemma.dev/blog/gc-compaction,2021-05-07 18:00:49
4,Knowledge Graphs with Inductive Logic Programming,https://blogs.sap.com/2021/05/06/knowledge-graphs-with-inductive-logic-programming-on-cml21/,2021-05-07 18:00:49
5,Genetic Mapping,https://maisonneuve.org/article/2021/04/12/genetic-mapping/,2021-05-06 00:00:13
6,2021 Perception Sensor Industry Map,https://www.tangramvision.com/blog/the-2021-perception-sensor-industry-map,2021-05-06 00:00:17
7,"Google user asks Google support for help, user ends up helping support employee",https://twitter.com/RaveofRavendale/status/1389507928269393921/,2021-05-06 00:00:24
8,A false facial recognition match sent this innocent Black man to jail,https://edition.cnn.com/2021/04/29/tech/nijeer-parks-facial-recognition-police-arrest/index.html,2021-05-06 00:00:29
9,Machine learning accelerates cosmological simulations,https://phys.org/news/2021-05-machine-cosmological-simulations.html,2021-05-06 06:00:12
10,US declares support for patent waiver on Covid-19 vaccines,https://www.theguardian.com/world/2021/may/05/us-declares-support-for-patent-waiver-on-covid-19-vaccines,2021-05-06 06:00:16
11,Deep Diving into the Strengths of FreeBSD,https://klarasystems.com/articles/deep-diving-into-the-strengths-of-freebsd/,2021-05-06 09:11:30
12,Bold Adversarial Journalism: The Intercept Does the Feds Work,https://twitter.com/ggreenwald/status/1389722584804102148,2021-05-06 09:12:35
13,Safaribooks: Download and generate ePub from O'Reilly Learning library,https://github.com/lorenzodifuccia/safaribooks,2021-05-05 12:00:30
14,"Dogecoin Is Surging Again, for Some Actual Reasons",https://nymag.com/intelligencer/2021/05/dogecoin-is-surging-again-and-for-some-actual-reasons.html,2021-05-05 12:00:41
15,Engineering professor solves deep earthquake mystery,https://phys.org/news/2021-04-professor-deep-earthquake-mystery.html,2021-05-05 12:01:07
16,The UML was designed to be a language for just visualizing and reasoning,https://twitter.com/Grady_Booch/status/1388929894915080193,2021-05-05 12:01:19
17,Constructor Theory,https://en.wikipedia.org/wiki/Constructor_theory,2021-05-05 12:01:41
18,Learning About the GeoTIFF File Format with a Hex Editor (2018),https://medium.com/planet-stories/a-handy-introduction-to-cloud-optimized-geotiffs-1f2c9e716ec3,2021-05-05 18:00:10
19,Case decision 2021-001-FB-FBR,https://oversightboard.com/decision/FB-691QAMHJ/,2021-05-05 18:00:29
20,Facebook will uphold Trump ban but reassess the decision over coming months,https://www.cnbc.com/2021/05/05/facebook-will-keep-trump-ban-in-place.html,2021-05-05 18:00:53
21,"Back in 1993, I was taking a number theory class",https://twitter.com/EricLengyel/status/1389106103179378689,2021-05-04 09:00:12
22,Programming in Z3 by learning to think like a compiler,https://bellmar.medium.com/programming-in-z3-by-learning-to-think-like-a-compiler-401fd46828d5,2021-05-04 09:00:17
23,Google AI leader has defected to Apple,https://arstechnica.com/gadgets/2021/05/apple-hires-yet-another-ex-google-ai-leader/,2021-05-04 09:00:24
24,Andrew Ng says AI has a proof-of-concept-to-production gap,https://spectrum.ieee.org/view-from-the-valley/artificial-intelligence/machine-learning/andrew-ng-xrays-the-ai-hype,2021-05-04 09:00:24
