Index,Title,URL,Time(UTC)
0,Cloudflare stops offering to block LGBTQ webpages,https://www.theregister.com/2021/05/21/cloudflare_lgbtq_filtering/,2021-05-22 06:00:17
1,How Iran Uses Bitcoin Mining to Evade Sanctions and “Export” Oil,https://www.elliptic.co/blog/how-iran-uses-bitcoin-mining-to-evade-sanctions,2021-05-22 12:00:14
2,Why the Bitcoin Crash Was a Big Win for Cryptocurrencies,https://www.bloomberg.com/opinion/articles/2021-05-20/why-the-bitcoin-crash-was-a-big-win-for-cryptocurrencies,2021-05-22 12:00:25
3,Bitcoin Miners Are Giving New Life to Old Fossil-Fuel Power Plants,https://www.wsj.com/articles/bitcoin-miners-are-giving-new-life-to-old-fossil-fuel-power-plants-11621594803,2021-05-22 12:00:25
4,Hash Functions for GPU Rendering,https://www.reedbeta.com/blog/hash-functions-for-gpu-rendering/,2021-05-22 18:00:24
5,Show HN: Ninjabot – A fast cryptocurrency bot implemented in Go,https://github.com/rodrigo-brito/ninjabot,2021-05-21 06:00:12
6,U.S. Treasury seeks reporting of cryptocurrency transfers,https://www.reuters.com/business/finance/us-treasury-says-can-shrink-7-trillion-tax-gap-by-10-over-next-decade-2021-05-20/,2021-05-21 06:02:09
7,On Ransomware and Cryptocurrency,https://twitter.com/smdiehl/status/1395683698859814912,2021-05-21 12:00:16
8,Iran Enlists Its Spies to Hunt Down Power-Hungry Bitcoin Miners,https://www.bloomberg.com/news/articles/2021-05-21/iran-enlists-its-spies-to-hunt-down-power-hungry-bitcoin-miners,2021-05-21 12:00:21
9,"Technobabble, Libertarian Derp and Bitcoin",https://www.nytimes.com/2021/05/20/opinion/cryptocurrency-bitcoin.html,2021-05-21 12:00:59
10,Blockfi accidentally sends users millions in Bitcoin – and now it wants it back,https://www.independent.co.uk/life-style/gadgets-and-tech/blockfi-cryptocurrency-bitcoin-accident-b1850899.html,2021-05-21 18:00:24
11,"Bitcoin is 'a giant pyramid scheme,' says Pinboard founder [video]",https://www.youtube.com/watch?v=igOmWeHMunw,2021-05-21 18:00:31
12,"Texas gov knew of natural gas shortages days before blackout, blamed wind anyway",https://arstechnica.com/tech-policy/2021/05/texas-gov-knew-of-natural-gas-shortages-days-before-blackout-blamed-wind-anyway/,2021-05-21 18:00:39
13,Coin Carbon Cap – PoW cryptocurrencies ranked by energy efficiency,https://coincarboncap.com/,2021-05-20 00:01:41
