Index,Title,URL,Time
0,MTLS: When certificate authentication is done wrong,https://github.blog/2023-08-17-mtls-when-certificate-authentication-is-done-wrong/,2023-08-18 09:49:27
1,ARPA-H looking for proposals to protect digital healthcare infrastructure,https://arpa-h.gov/news/digiheals/,2023-08-18 09:24:15
2,Evergrande files for US bankruptcy protection as China economic fears mount,https://www.reuters.com/world/china/china-evergrande-files-protection-us-court-part-32-bln-debt-overhaul-2023-08-18/,2023-08-18 09:07:03
3,SUSE to flip back into private ownership,https://www.theregister.com/2023/08/18/suse_delisting/,2023-08-18 02:31:11
4,China’s property giant Evergrande files for bankruptcy protection in Manhattan,https://www.cnbc.com/2023/08/18/china-property-developer-evergrande-files-for-bankruptcy-protection-in-us.html,2023-08-17 23:43:36
5,SUSE to Go Private,https://opensourcewatch.beehiiv.com/p/suse-go-private,2023-08-17 18:51:33
6,Karma Catches Up to Global Phishing Service 16Shop,https://krebsonsecurity.com/2023/08/karma-catches-up-to-global-phishing-service-16shop/,2023-08-17 16:06:52
7,SUSE to go private,https://www.suse.com/news/EQT-announces-voluntary-public-purchase-offer-and-intention-to-delist-SUSE/,2023-08-17 15:40:41
8,Three security teams just hacked a US Air Force satellite in space,https://www.space.com/satellite-hacking-hack-a-sat-competition-winners,2023-08-17 11:04:35
9,1834: The First Cyberattack (2017),https://www.economist.com/1843/2017/10/05/the-crooked-timber-of-humanity,2023-08-16 23:22:30
10,$70 device can spoof an Apple device sending BLE Advertising Packets,https://techcrunch.com/2023/08/16/this-70-device-can-spoof-an-apple-device-and-trick-you-into-sharing-your-password/,2023-08-16 18:02:21
11,Dismembered Body of U.S. Crypto Mogul Found in Bulgaria,https://www.newsweek.com/crypto-millionaire-body-found-dismembered-bulgaria-1820197,2023-08-16 17:33:45
12,"At long last, a meaningful step to protect Americans' privacy",https://pluralistic.net/2023/08/16/the-second-best-time-is-now/#the-point-of-a-system-is-what-it-does,2023-08-16 13:36:58
13,"Show HN: LlamaGPT – Self-hosted, offline, private AI chatbot, powered by Llama 2",https://github.com/getumbrel/llama-gpt,2023-08-16 11:05:09
14,Major U.S. energy org targeted in QR code phishing attack,https://www.bleepingcomputer.com/news/security/major-us-energy-org-targeted-in-qr-code-phishing-attack/,2023-08-16 10:37:00
15,"“Space bubbles” can fully reverse climate change, study finds",https://www.thebrighterside.news/post/space-bubbles-can-fully-reverse-climate-change-study-finds,2023-08-15 22:58:24
16,LinkedIn accounts hacked in widespread hijacking campaign,https://www.bleepingcomputer.com/news/security/linkedin-accounts-hacked-in-widespread-hijacking-campaign/,2023-08-15 18:57:33
17,‘Defender Pretender’ turns Windows’ malware protections against itself,https://www.scmagazine.com/news/defender-pretender-turns-windows-malware-protections-against-itself,2023-08-15 16:50:00
18,Missing US crypto king found dead,https://www.mirror.co.uk/news/us-news/mising-crypto-king-found-chopped-30707060,2023-08-15 14:13:23
19,"Private jet came ‘within 100 feet’ of colliding with Southwest plane, NTSB says",https://www.dallasnews.com/business/airlines/2023/08/14/ntsb-probes-near-collision-of-southwest-airlines-business-jets-in-san-diego/,2023-08-15 13:55:30
20,Yubikey Authenticator,https://avc.mirror.xyz/O0jLLVyG-mUgiZu5P7Y2RUFsTw3HO0vSiHwOZVdo0iY,2023-08-15 13:05:08
21,Real estate markets scramble following cyberattack on listings provider,https://arstechnica.com/security/2023/08/5-days-on-cyberattack-on-data-provider-stymies-realty-markets-throughout-the-us/,2023-08-15 07:37:25
22,Privacy friendly ESP32 smart doorbell with Home Assistant local integration,https://tristam.ie/2023/758/,2023-08-15 05:46:12
23,Trump Indicted over Effort to Reverse Georgia Loss,https://www.nytimes.com/live/2023/08/14/us/trump-indictment-georgia-election,2023-08-15 00:51:28
24,"Crypto scams on Twitter led to $872k in losses a year, new study finds",https://www.cryptopolitan.com/crypto-scams-on-twitter-led-to-872k-losses/,2023-08-14 19:08:37
25,A Quickstart Guide to Privacy,https://www.hai.haus/blog/privacy-quickstart-2023.html,2023-08-14 10:58:42
26,Bomb threat causes mass evacuation at DEF CON hacking convention,https://www.theregister.com/2023/08/14/def_con_roundup/,2023-08-14 09:17:19
27,USA original hacking supergroup creates a free framework to improve app security,https://www.engadget.com/americas-original-hacking-supergroup-creates-a-free-framework-to-improve-app-security-190043865.html,2023-08-14 02:34:03
28,Scientists reverse hearing loss in mice,https://www.sciencedaily.com/releases/2023/08/230810110338.htm,2023-08-13 21:18:22
29,The untold history of today’s Russian-speaking hackers,https://www.ft.com/content/9ac188be-8bcf-4b5a-8051-10563683b979,2023-08-13 16:01:17
30,Azure ChatGPT: Private and secure ChatGPT for internal enterprise use,https://github.com/microsoft/azurechatgpt,2023-08-13 14:35:15
31,‘I've got nothing to hide’ and other misunderstandings of privacy (2007),https://papers.ssrn.com/sol3/papers.cfm?abstract_id=998565,2023-08-13 14:23:29
